symbol,ex_date,dividend_per_share,status,traded_on_ex_date,isin,subject,raw_file
SHRIRAMFIN,2020-11-09,6.0,OK,False,INE721A01013,Interim Dividend - Rs 6 Per Share,data/raw/corporate_actions/nse_api/SHRIRAMFIN/2020-09-30_2021-09-29.json
COALINDIA,2020-11-19,7.5,OK,True,INE522F01014,Interim Dividend - Rs 7.50 Per Share,data/raw/corporate_actions/nse_api/COALINDIA/2020-09-30_2021-09-29.json
POWERGRID,2020-12-17,5.0,OK,True,INE752E01010,Interim Dividend - Rs 5 Per Share,data/raw/corporate_actions/nse_api/POWERGRID/2020-09-30_2021-09-29.json
TCS,2021-01-14,6.0,OK,True,INE467B01029,Interim Dividend - Rs 6 Per Share,data/raw/corporate_actions/nse_api/TCS/2020-09-30_2021-09-29.json
HCLTECH,2021-01-21,4.0,OK,True,INE860A01027,Interim Dividend - Rs 4 Per Share,data/raw/corporate_actions/nse_api/HCLTECH/2020-09-30_2021-09-29.json
WIPRO,2021-01-22,1.0,OK,True,INE075A01022,Interim Dividend - Re 1 Per Share,data/raw/corporate_actions/nse_api/WIPRO/2020-09-30_2021-09-29.json
GAIL,2021-01-27,2.5,OK,True,INE129A01019,Interim Dividend - Rs 2.50 Per Share,data/raw/corporate_actions/nse_api/GAIL/2020-09-30_2021-09-29.json
BEL,2021-02-08,1.4,OK,True,INE263A01016,Interim Dividend - Rs 1.40 Per Share,data/raw/corporate_actions/nse_api/BEL/2020-09-30_2021-09-29.json
INDUSTOWER,2021-02-08,17.82,OK,False,INE121J01017,Interim Dividend - Rs 17.82 Per Share,data/raw/corporate_actions/nse_api/INDUSTOWER/2020-09-30_2021-09-29.json
IOC,2021-02-09,7.5,OK,True,INE242A01010,Interim Dividend - Rs 7.50 Per Share,data/raw/corporate_actions/nse_api/IOC/2020-09-30_2021-09-29.json
SUNPHARMA,2021-02-09,5.5,OK,True,INE044A01028,Interim Dividend - Rs 5.50 Per Share,data/raw/corporate_actions/nse_api/SUNPHARMA/2020-09-30_2021-09-29.json
NTPC,2021-02-11,3.0,OK,True,INE733E01010,Interim Dividend - Rs 3 Per Share,data/raw/corporate_actions/nse_api/NTPC/2020-09-30_2021-09-29.json
HEROMOTOCO,2021-02-15,70.0,OK,True,INE158A01026,Interim Dividend - Rs 65 Per Share Special Dividend - Rs 5 Per Share,data/raw/corporate_actions/nse_api/HEROMOTOCO/2020-09-30_2021-09-29.json
BPCL,2021-02-17,16.0,OK,True,INE029A01011,Interim Dividend - Rs 16 Per Share,data/raw/corporate_actions/nse_api/BPCL/2020-09-30_2021-09-29.json
ONGC,2021-02-17,1.75,OK,True,INE213A01011,Interim Dividend - Rs 1.75 Per Share,data/raw/corporate_actions/nse_api/ONGC/2020-09-30_2021-09-29.json
