symbol,api_symbol,action_type,ex_date,ratio_or_amount,adjustment_factor,affects_contract,subject,isin,source,status,notes
SBIN,SBIN,dividend,2021-06-03,Rs 4/share,,False,Dividend - Rs 4 Per Share,INE062A01012,NSE corporate-actions API; raw data/raw/corporate_actions/nse_api/SBIN/2020-09-30_2021-09-29.json,VERIFIED,date and underlying from the NSE corporate-actions API (source)
SBIN,SBIN,dividend,2022-05-25,Rs 7.10/share,,False,Dividend - Rs 7.10 Per Share,INE062A01012,NSE corporate-actions API; raw data/raw/corporate_actions/nse_api/SBIN/2021-09-30_2022-09-29.json,VERIFIED,date and underlying from the NSE corporate-actions API (source)
SBIN,SBIN,dividend,2023-05-31,Rs 11.30/share,,False,Dividend - Rs 11.30 Per Share,INE062A01012,NSE corporate-actions API; raw data/raw/corporate_actions/nse_api/SBIN/2022-09-30_2023-09-29.json,VERIFIED,date and underlying from the NSE corporate-actions API (source)
SBIN,SBIN,dividend,2024-05-22,Rs 13.70/share,,False,Dividend - Rs 13.70 Per Share,INE062A01012,NSE corporate-actions API; raw data/raw/corporate_actions/nse_api/SBIN/2023-09-30_2024-09-28.json,VERIFIED,date and underlying from the NSE corporate-actions API (source)
SBIN,SBIN,dividend,2025-05-16,Rs 15.90/share,,False,Dividend - Rs 15.90 Per Share,INE062A01012,NSE corporate-actions API; raw data/raw/corporate_actions/nse_api/SBIN/2024-09-29_2025-09-28.json,VERIFIED,date and underlying from the NSE corporate-actions API (source)
SBIN,SBIN,dividend,2026-05-15,Rs 17.35/share,,False,Dividend - Rs 17.35 Per Share,INE062A01012,NSE corporate-actions API; raw data/raw/corporate_actions/nse_api/SBIN/2025-09-29_2026-06-30.json,VERIFIED,date and underlying from the NSE corporate-actions API (source)
TATASTEEL,TATASTEEL,dividend,2020-08-06,Rs 10/share,,False,Dividend - Rs 10 Per Share,INE081A01012,NSE corporate-actions API; raw data/raw/corporate_actions/nse_api/TATASTEEL/2019-10-01_2020-09-29.json,VERIFIED,date and underlying from the NSE corporate-actions API (source)
TATASTEEL,TATASTEEL,dividend,2021-06-17,Rs 25/share,,False,Annual General Meeting/Dividend - Rs 25 Per Share,INE081A01012,NSE corporate-actions API; raw data/raw/corporate_actions/nse_api/TATASTEEL/2020-09-30_2021-09-29.json,VERIFIED,date and underlying from the NSE corporate-actions API (source)
TATASTEEL,TATASTEEL,dividend,2022-06-15,Rs 51/share,,False,Annual General Meeting/Dividend - Rs  51 Per Share,INE081A01012,NSE corporate-actions API; raw data/raw/corporate_actions/nse_api/TATASTEEL/2021-09-30_2022-09-29.json,VERIFIED,date and underlying from the NSE corporate-actions API (source)
TATASTEEL,TATASTEEL,split,2022-07-28,FV 10 -> 1,10.0,True,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Re 1/- Per Share,INE081A01012,NSE corporate-actions API; raw data/raw/corporate_actions/nse_api/TATASTEEL/2021-09-30_2022-09-29.json,VERIFIED,"split 10:1; F&O lot 425 -> 4250 from the Aug-2022 contract (data, lot_sizes.csv)"
TATASTEEL,TATASTEEL,dividend,2023-06-22,Rs 3.60/share,,False,Annual General Meeting/Dividend - Rs 3.60 Per Share,INE081A01012,NSE corporate-actions API; raw data/raw/corporate_actions/nse_api/TATASTEEL/2022-09-30_2023-09-29.json,VERIFIED,date and underlying from the NSE corporate-actions API (source)
TATASTEEL,TATASTEEL,dividend,2024-06-21,Rs 3.60/share,,False,Dividend - Rs 3.60 Per Share,INE081A01012,NSE corporate-actions API; raw data/raw/corporate_actions/nse_api/TATASTEEL/2023-09-30_2024-09-28.json,VERIFIED,date and underlying from the NSE corporate-actions API (source)
TATASTEEL,TATASTEEL,dividend,2025-06-06,Rs 3.60/share,,False,Dividend - Rs 3.60 Per Share,INE081A01012,NSE corporate-actions API; raw data/raw/corporate_actions/nse_api/TATASTEEL/2024-09-29_2025-09-28.json,VERIFIED,date and underlying from the NSE corporate-actions API (source)
TATASTEEL,TATASTEEL,dividend,2026-06-12,Rs 4/share,,False,Dividend - Rs 4 Per Share,INE081A01012,NSE corporate-actions API; raw data/raw/corporate_actions/nse_api/TATASTEEL/2025-09-29_2026-06-30.json,VERIFIED,date and underlying from the NSE corporate-actions API (source)
TATAMOTORS,TMPV,dividend,2023-07-28,Rs 2/share,,False,Dividend - Rs 2 Per Share,INE155A01022,NSE corporate-actions API; raw data/raw/corporate_actions/nse_api/TMPV/2022-09-30_2023-09-29.json,VERIFIED,date and underlying from the NSE corporate-actions API (source)
TATAMOTORS,TMPV,special_dividend,2024-06-11,Rs 3/share,,False,Dividend - Rs 3 Per Share & Special Dividend - Rs 3 Per Share,INE155A01022,NSE corporate-actions API; raw data/raw/corporate_actions/nse_api/TMPV/2023-09-30_2024-09-28.json,VERIFIED,date and underlying from the NSE corporate-actions API (source)
TATAMOTORS,TMPV,dividend,2025-06-04,Rs 6/share,,False,Dividend - Rs 6 Per Share,INE155A01022,NSE corporate-actions API; raw data/raw/corporate_actions/nse_api/TMPV/2024-09-29_2025-09-28.json,VERIFIED,date and underlying from the NSE corporate-actions API (source)
TATAMOTORS,TMPV,demerger,2025-10-14,,,True,Demerger,INE155A01022,NSE corporate-actions API; raw data/raw/corporate_actions/nse_api/TMPV/2025-09-29_2026-06-30.json,VERIFIED (contracts) / factor UNVERIFIED,"demerger; existing F&O contracts expired 2025-10-13, physically settled at the CM settlement price (NSE/FAOP/70615, NCL/CMPT/70648); new contracts lot 800 (NSE/FAOP/70789); price factor UNVERIFIED"
TATAMOTORS,TMPV,dividend,2026-06-19,Rs 3/share,,False,Dividend - Rs 3 Per Share,INE155A01022,NSE corporate-actions API; raw data/raw/corporate_actions/nse_api/TMPV/2025-09-29_2026-06-30.json,VERIFIED,date and underlying from the NSE corporate-actions API (source)
ZEEL,ZEEL,dividend,2020-09-10,Rs 0.30/share,,False,Annual General Meeting/Dividend - Rs 0.30 Per Share,INE256A01028,NSE corporate-actions API; raw data/raw/corporate_actions/nse_api/ZEEL/2019-10-01_2020-09-29.json,VERIFIED,date and underlying from the NSE corporate-actions API (source)
ZEEL,ZEEL,dividend,2021-09-02,Rs 2.50/share,,False,Annual General Meeting/Dividend - Rs 2.50 Per Share,INE256A01028,NSE corporate-actions API; raw data/raw/corporate_actions/nse_api/ZEEL/2020-09-30_2021-09-29.json,VERIFIED,date and underlying from the NSE corporate-actions API (source)
ZEEL,ZEEL,dividend,2022-09-15,Rs 3/share,,False,Annual General Meeting/Dividend - Rs 3 Per Share,INE256A01028,NSE corporate-actions API; raw data/raw/corporate_actions/nse_api/ZEEL/2021-09-30_2022-09-29.json,VERIFIED,date and underlying from the NSE corporate-actions API (source)
ZEEL,ZEEL,dividend,2024-11-08,Rs 1/share,,False,Dividend - Re 1 Per Share,INE256A01028,NSE corporate-actions API; raw data/raw/corporate_actions/nse_api/ZEEL/2024-09-29_2025-09-28.json,VERIFIED,date and underlying from the NSE corporate-actions API (source)
ZEEL,ZEEL,dividend,2025-08-29,Rs 2.43/share,,False,Dividend - Rs 2.43 Per Share,INE256A01028,NSE corporate-actions API; raw data/raw/corporate_actions/nse_api/ZEEL/2024-09-29_2025-09-28.json,VERIFIED,date and underlying from the NSE corporate-actions API (source)
