folder_symbol,nse_symbol,isin,series,ex_date,record_date,subject,dividend_per_share,dividend_status,raw_file
BAJAJFINSV,BAJAJFINSV,INE918I01018,EQ,2023-06-30,30-Jun-2023,Dividend - Rs 0.80 Per Share,0.8,OK,data/raw/corporate_actions/nse_api/BAJAJFINSV/2022-09-30_2023-09-29.json
BAJAJFINSV,BAJAJFINSV,INE918I01018,EQ,2024-06-21,21-Jun-2024,Dividend - Re 1 Per Share,1.0,OK,data/raw/corporate_actions/nse_api/BAJAJFINSV/2023-09-30_2024-09-28.json
BAJAJFINSV,BAJAJFINSV,INE918I01018,EQ,2025-06-27,27-Jun-2025,Dividend - Re 1 Per Share,1.0,OK,data/raw/corporate_actions/nse_api/BAJAJFINSV/2024-09-29_2025-09-28.json
BAJAJFINSV,BAJAJFINSV,INE918I01018,EQ,2026-06-30,30-Jun-2026,Dividend - Rs 1.50 Per Share,1.5,OK,data/raw/corporate_actions/nse_api/BAJAJFINSV/2025-09-29_2026-09-16.json
BAJFINANCE,BAJFINANCE,INE296A01016,EQ,2020-03-03,04-Mar-2020,Interim Dividend - Rs 10 Per Share,10.0,OK,data/raw/corporate_actions/nse_api/BAJFINANCE/2019-10-01_2020-09-29.json
BAJFINANCE,BAJFINANCE,INE296A01016,EQ,2021-07-08,-,Annual General Meeting/Dividend - Rs 10 Per Share,10.0,OK,data/raw/corporate_actions/nse_api/BAJFINANCE/2020-09-30_2021-09-29.json
BAJFINANCE,BAJFINANCE,INE296A01016,EQ,2022-06-30,01-Jul-2022,Dividend - Rs 20 Per Share,20.0,OK,data/raw/corporate_actions/nse_api/BAJFINANCE/2021-09-30_2022-09-29.json
BAJFINANCE,BAJFINANCE,INE296A01016,EQ,2023-06-30,30-Jun-2023,Dividend - Rs 30 Per Share,30.0,OK,data/raw/corporate_actions/nse_api/BAJFINANCE/2022-09-30_2023-09-29.json
BAJFINANCE,BAJFINANCE,INE296A01016,EQ,2024-06-21,21-Jun-2024,Dividend - Rs 36 Per Share,36.0,OK,data/raw/corporate_actions/nse_api/BAJFINANCE/2023-09-30_2024-09-28.json
BAJFINANCE,BAJFINANCE,INE296A01016,EQ,2025-05-09,09-May-2025,Special Dividend - Rs 12 Per Share,12.0,OK,data/raw/corporate_actions/nse_api/BAJFINANCE/2024-09-29_2025-09-28.json
BAJFINANCE,BAJFINANCE,INE296A01016,EQ,2025-05-30,30-May-2025,Dividend - Rs 44 Per Share,44.0,OK,data/raw/corporate_actions/nse_api/BAJFINANCE/2024-09-29_2025-09-28.json
BAJFINANCE,BAJFINANCE,INE296A01016,EQ,2025-06-16,16-Jun-2025,Bonus 4:1,0.0,NONE,data/raw/corporate_actions/nse_api/BAJFINANCE/2024-09-29_2025-09-28.json
BAJFINANCE,BAJFINANCE,INE296A01016,EQ,2025-06-16,16-Jun-2025,Face Value Split (Sub-Division) - From Rs 2/- Per Share To Re 1/- Per Share,0.0,NONE,data/raw/corporate_actions/nse_api/BAJFINANCE/2024-09-29_2025-09-28.json
BAJFINANCE,BAJFINANCE,INE296A01016,EQ,2026-06-30,30-Jun-2026,Dividend - Rs 6 Per Share,6.0,OK,data/raw/corporate_actions/nse_api/BAJFINANCE/2025-09-29_2026-09-16.json
BEL,BEL,INE263A01016,EQ,2020-02-11,12-Feb-2020,Interim Dividend - Rs 1.40 Per Share,1.4,OK,data/raw/corporate_actions/nse_api/BEL/2019-10-01_2020-09-29.json
BEL,BEL,INE263A01016,EQ,2020-09-15,-,Annual General Meeting/Dividend - Rs 1.40 Per Share,1.4,OK,data/raw/corporate_actions/nse_api/BEL/2019-10-01_2020-09-29.json
BEL,BEL,INE263A01016,EQ,2021-02-08,09-Feb-2021,Interim Dividend - Rs 1.40 Per Share,1.4,OK,data/raw/corporate_actions/nse_api/BEL/2020-09-30_2021-09-29.json
BEL,BEL,INE263A01016,EQ,2021-03-23,24-Mar-2021,Interim Dividend - Rs 1.40 Per Share,1.4,OK,data/raw/corporate_actions/nse_api/BEL/2020-09-30_2021-09-29.json
BEL,BEL,INE263A01016,EQ,2021-09-14,-,Annual General Meeting/Dividend - Rs 1.20 Per Share,1.2,OK,data/raw/corporate_actions/nse_api/BEL/2020-09-30_2021-09-29.json
BEL,BEL,INE263A01016,EQ,2022-02-09,10-Feb-2022,Interim Dividend - Rs 1.50 Per Share,1.5,OK,data/raw/corporate_actions/nse_api/BEL/2021-09-30_2022-09-29.json
BEL,BEL,INE263A01016,EQ,2022-03-24,26-Mar-2022,Interim Dividend - Rs 1.50 Per Share,1.5,OK,data/raw/corporate_actions/nse_api/BEL/2021-09-30_2022-09-29.json
BEL,BEL,INE263A01016,EQ,2022-08-08,-,Annual General Meeting/Dividend - Rs 1.50 Per Share,1.5,OK,data/raw/corporate_actions/nse_api/BEL/2021-09-30_2022-09-29.json
BEL,BEL,INE263A01016,EQ,2022-09-15,16-Sep-2022,Bonus 2:1,0.0,NONE,data/raw/corporate_actions/nse_api/BEL/2021-09-30_2022-09-29.json
BEL,BEL,INE263A01016,EQ,2023-02-10,10-Feb-2023,Interim Dividend - Re 0.60 Per Share,0.6,OK,data/raw/corporate_actions/nse_api/BEL/2022-09-30_2023-09-29.json
BEL,BEL,INE263A01016,EQ,2023-03-24,25-Mar-2023,Interim Dividend - Rs 0.60 Per Share,0.6,OK,data/raw/corporate_actions/nse_api/BEL/2022-09-30_2023-09-29.json
BEL,BEL,INE263A01016,EQ,2023-08-17,-,Annual General Meeting/Dividend - Re 0.60 Per Share,0.6,OK,data/raw/corporate_actions/nse_api/BEL/2022-09-30_2023-09-29.json
BEL,BEL,INE263A01016,EQ,2024-02-09,10-Feb-2024,Interim Dividend - Re 0.70 Per Share,0.7,OK,data/raw/corporate_actions/nse_api/BEL/2023-09-30_2024-09-28.json
