date,symbol,mark_value
2020-06-05,COALINDIA,3662550.0
2020-06-05,HDFCBANK,3839999.9999999995
2020-06-05,HEROMOTOCO,-118170.00000000001
2020-06-05,ADANIPORTS,-15000.0
2020-06-08,TATASTEEL,3502800.0000000005
2020-06-08,VEDL,3310650.0
2020-06-08,ONGC,372895.0
2020-06-08,HINDALCO,3073350.0
2020-06-08,COALINDIA,3684149.9999999995
2020-06-08,HDFCBANK,3810600.0
2020-06-08,HEROMOTOCO,-104400.0
2020-06-08,ADANIPORTS,-14500.0
2020-06-09,TATASTEEL,3488100.0
2020-06-09,VEDL,3294900.0
2020-06-09,ONGC,369000.0
2020-06-09,HINDALCO,2994600.0
2020-06-09,COALINDIA,3659850.0000000005
2020-06-09,HDFCBANK,3767400.0
2020-06-09,HEROMOTOCO,-97020.0
2020-06-09,ADANIPORTS,-13500.0
2020-06-10,TATASTEEL,3402000.0
2020-06-10,VEDL,3342150.0
2020-06-10,ONGC,361825.0
2020-06-10,HINDALCO,3085949.9999999995
2020-06-10,COALINDIA,3626099.9999999995
2020-06-10,HDFCBANK,3775600.0
2020-06-10,HEROMOTOCO,-127350.0
2020-06-10,ADANIPORTS,-11000.0
2020-06-11,TATASTEEL,3288074.9999999995
2020-06-11,VEDL,3183075.0
2020-06-11,ONGC,356290.0
2020-06-11,HINDALCO,3032400.0
2020-06-11,COALINDIA,3605849.9999999995
2020-06-11,HDFCBANK,3740400.0
2020-06-11,HEROMOTOCO,-108720.0
2020-06-11,ADANIPORTS,-16000.0
2020-06-12,TATASTEEL,3334800.0000000005
2020-06-12,VEDL,3253950.0
2020-06-12,ONGC,343990.0
2020-06-12,HINDALCO,3067050.0000000005
2020-06-12,COALINDIA,3562650.0
2020-06-12,HDFCBANK,3784800.0
2020-06-12,HEROMOTOCO,-62460.00000000001
2020-06-12,ADANIPORTS,-10750.0
2020-06-15,TATASTEEL,3215100.0
2020-06-15,VEDL,3225600.0
2020-06-15,ONGC,344810.0
2020-06-15,HINDALCO,3061800.0000000005
2020-06-15,COALINDIA,3514050.0
2020-06-15,HDFCBANK,3705800.0
2020-06-15,HEROMOTOCO,-71100.0
2020-06-15,ADANIPORTS,-17250.0
2020-06-16,TATASTEEL,3243975.0
2020-06-16,VEDL,3271275.0
2020-06-16,ONGC,343990.0
2020-06-16,HINDALCO,3152100.0
2020-06-16,COALINDIA,3505950.0
2020-06-16,HDFCBANK,3813800.0
2020-06-16,HEROMOTOCO,-50850.0
2020-06-16,ADANIPORTS,-12750.0
2020-06-17,TATASTEEL,3236100.0
2020-06-17,VEDL,3216150.0
2020-06-17,ONGC,345220.0
2020-06-17,HINDALCO,3108000.0
2020-06-17,COALINDIA,3470849.9999999995
2020-06-17,HDFCBANK,3802600.0
2020-06-17,HEROMOTOCO,-52380.0
2020-06-17,ADANIPORTS,-13750.0
2020-06-18,TATASTEEL,3340050.0000000005
2020-06-18,VEDL,3370500.0
2020-06-18,ONGC,342760.0
2020-06-18,HINDALCO,3166800.0000000005
2020-06-18,COALINDIA,3643650.0
2020-06-18,HDFCBANK,3888800.0
2020-06-18,HEROMOTOCO,-38250.0
2020-06-18,ADANIPORTS,-6000.0
2020-06-19,TATASTEEL,3365775.0
2020-06-19,VEDL,3315375.0
2020-06-19,ONGC,351575.0
2020-06-19,HINDALCO,3172050.0000000005
2020-06-19,COALINDIA,3654450.0
2020-06-19,HDFCBANK,3906999.9999999995
2020-06-19,HEROMOTOCO,-28440.0
2020-06-19,ADANIPORTS,-1750.0
2020-06-22,TATASTEEL,3419850.0
2020-06-22,VEDL,3466575.0
2020-06-22,ONGC,347885.0
2020-06-22,HINDALCO,3152100.0
2020-06-22,COALINDIA,3753000.0
2020-06-22,HDFCBANK,3906200.0
2020-06-22,HEROMOTOCO,-13860.0
2020-06-22,ADANIPORTS,-2500.0
2020-06-23,TATASTEEL,3486000.0
